rho,seed,context_split,gamma,reward,spent_ratio,tau
0.55,10126,train,0.3,240.0,0.8355403731519526,5000
0.55,10127,train,0.3,231.0,0.8355696822513233,5000
0.55,10128,train,0.3,210.0,0.8355403731519526,5000
0.55,10129,train,0.3,227.0,0.8355843368010087,5000
0.55,10130,train,0.3,243.0,0.8355550277016379,5000
0.55,10131,train,0.3,223.0,0.8355257186022672,5000
0.55,10132,train,0.3,221.0,0.8355257186022672,5000
0.55,10123,train,1.0,227.0,0.8355257186022672,5000
0.55,10124,train,1.0,207.0,0.8355257186022672,5000
0.55,10125,train,1.0,215.0,0.8355257186022672,5000
0.55,10126,train,1.0,268.0,0.8355257186022672,5000
0.55,10127,train,1.0,242.0,0.8355257186022672,5000
0.55,10128,train,1.0,220.0,0.8355257186022672,5000
0.55,10129,train,1.0,217.0,0.8355257186022672,5000
0.55,10130,train,1.0,226.0,0.8355257186022672,5000
0.55,10131,train,1.0,222.0,0.8355257186022672,5000
0.55,10132,train,1.0,206.0,0.8355257186022672,5000
0.55,10123,train,2.0,220.0,0.8355257186022672,5000
0.55,10124,train,2.0,220.0,0.8355257186022672,5000
0.55,10125,train,2.0,217.0,0.8355257186022672,5000
0.55,10126,train,2.0,223.0,0.8355257186022672,5000
0.55,10127,train,2.0,238.0,0.8355257186022672,5000
0.55,10128,train,2.0,254.0,0.8355257186022672,5000
0.55,10129,train,2.0,204.0,0.8355257186022672,5000
0.55,10130,train,2.0,204.0,0.8355257186022672,5000
0.55,10131,train,2.0,208.0,0.8355257186022672,5000
0.55,10132,train,2.0,224.0,0.8355257186022672,5000
0.55,10123,train,3.0,218.0,0.8355257186022672,5000
0.55,10124,train,3.0,244.0,0.8355257186022672,5000
0.55,10125,train,3.0,235.0,0.8355257186022672,5000
0.55,10126,train,3.0,248.0,0.8355257186022672,5000
0.55,10127,train,3.0,238.0,0.8355257186022672,5000
0.55,10128,train,3.0,223.0,0.8355257186022672,5000
0.55,10129,train,3.0,218.0,0.8355257186022672,5000
0.55,10130,train,3.0,242.0,0.8355257186022672,5000
0.55,10131,train,3.0,228.0,0.8355257186022672,5000
0.55,10132,train,3.0,198.0,0.8355257186022672,5000
0.55,10123,train,5.0,216.0,0.8355257186022672,5000
0.55,10124,train,5.0,218.0,0.8355257186022672,5000
0.55,10125,train,5.0,199.0,0.8355257186022672,5000
0.55,10126,train,5.0,215.0,0.8355257186022672,5000
0.55,10127,train,5.0,197.0,0.8355257186022672,5000
0.55,10128,train,5.0,216.0,0.8355257186022672,5000
0.55,10129,train,5.0,227.0,0.8355257186022672,5000
0.55,10130,train,5.0,209.0,0.8355257186022672,5000
0.55,10131,train,5.0,218.0,0.8355257186022672,5000
0.55,10132,train,5.0,220.0,0.8355257186022672,5000
0.55,10123,train,10.0,222.0,0.8355257186022672,5000
0.55,10124,train,10.0,212.0,0.8355257186022672,5000
0.55,10125,train,10.0,211.0,0.8355257186022672,5000
0.55,10126,train,10.0,221.0,0.8355257186022672,5000
0.55,10127,train,10.0,221.0,0.8355257186022672,5000
0.55,10128,train,10.0,253.0,0.8355257186022672,5000
0.55,10129,train,10.0,228.0,0.8355257186022672,5000
0.55,10130,train,10.0,234.0,0.8355257186022672,5000
0.55,10131,train,10.0,196.0,0.8355257186022672,5000
0.55,10132,train,10.0,226.0,0.8355257186022672,5000
0.7,10123,train,0.0,178.0,0.9999492466364588,4192
0.7,10124,train,0.0,182.0,0.9999157170993941,4367
0.7,10125,train,0.0,187.0,0.9998730491229466,4213
0.7,10126,train,0.0,170.0,0.9999594338110515,4009
