rho,seed,context_split,gamma,reward,spent_ratio,tau
0.7,10129,train,0.1,200.0,0.9999972785966736,3683
0.7,10130,train,0.1,187.0,0.9999233257770538,3680
0.7,10131,train,0.1,187.0,0.9999386431830269,3692
0.7,10132,train,0.1,166.0,0.9998844236816679,3697
0.7,10123,train,0.3,199.0,0.9999099935548647,3768
0.7,10124,train,0.3,185.0,0.9999988508650235,3749
0.7,10125,train,0.3,190.0,0.9999588798029082,3752
0.7,10126,train,0.3,188.0,0.9999956697651318,3746
0.7,10127,train,0.3,193.0,0.9999858885407448,3765
0.7,10128,train,0.3,182.0,0.99996795047181,3748
0.7,10129,train,0.3,161.0,0.9999776120100703,3765
0.7,10130,train,0.3,224.0,0.9999732246654375,3744
0.7,10131,train,0.3,220.0,0.9999499685849462,3754
0.7,10132,train,0.3,201.0,0.9998918955581528,3761
0.7,10123,train,1.0,210.0,0.9999904950686863,4068
0.7,10124,train,1.0,202.0,0.9999916270119803,4065
0.7,10125,train,1.0,219.0,0.9999691670451846,4062
0.7,10126,train,1.0,220.0,0.9999979063783373,4045
0.7,10127,train,1.0,227.0,0.9999189496295793,4029
0.7,10128,train,1.0,239.0,0.99990852194173,4054
0.7,10129,train,1.0,208.0,0.9999817943998746,4032
0.7,10130,train,1.0,230.0,0.9999042734333448,4037
0.7,10131,train,1.0,193.0,0.9999855441110475,4056
0.7,10132,train,1.0,215.0,0.9999992432338851,4056
0.7,10123,train,2.0,245.0,0.9999160149693489,4580
0.7,10124,train,2.0,230.0,0.9999795043894223,4610
0.7,10125,train,2.0,222.0,0.99989959192276,4568
0.7,10126,train,2.0,241.0,0.9999115463750703,4575
0.7,10127,train,2.0,248.0,0.9998806775893484,4576
0.7,10128,train,2.0,228.0,0.9999783564295087,4577
0.7,10129,train,2.0,238.0,0.9999049151454653,4616
0.7,10130,train,2.0,252.0,0.9998967508077622,4566
0.7,10131,train,2.0,233.0,0.9999724613342966,4597
